scene,74652
capturing,18512
championship,19773
victory,88684
sc,74562
preußen,67355
münster,57941
1953,2065
followed,35021
losing,51774
appearances,10451
1954,2066
players,65704
fifa,34102
cup,24790
popularly,66436
miracle,56009
bern,14430
fell,33758
decade,25847
highlighted,41342
1961,2076
werder,90310
bremen,16615
recovered,70239
win,90881
eve,32335
formation,35275
1963,2078
professional,67688
secured,75458
circuit,20743
honours,42062
coming,22073
failed,33122
1972,2093
1976,2097
1981,2105
1990,2116
fall,33212
1996,2125
soured,78594
relegated,70981
16th,1703
place,65537
finish,34313
week,90149
original,61626
inception,43812
group,38976
eintracht,30242
frankfurt,35571
köln,48923
1998,2127
dinosaur,27482
unrelegated,87239
hamburger,39810
storming,80277
accomplishment,7493
unique,87004
promotion,67843
immediately,43512
famous,33279
coach,21462
otto,61909
rehhagel,70790
99,6813
uefa,86346
psv,68192
eindhoven,30230
benfica,14284
hjk,41670
helsinki,40902
trouble,85561
soon,78432
necessary,58637
2006,2222
venue,88397
incompetent,43864
management,53054
financial,34261
misdeeds,56081
resulted,71695
debt,25818
load,51370
fielding,34088
incapable,43794
sides,77011
mercenary,55065
brink,16780
bankruptcy,13185
controversy,23258
publicly,68292
jürgen,46973
friedrich,35822
robert,72556
gerhard,37301
herzog,41158
forced,35147
president,67262
rene,71174
sold,78275
ridden,72187
entity,31329
owned,62298
land,49234
rheinland,72053
city,20845
saving,74474
disaster,27629
erik,31661
led,50063
run,73368
winter,90968
break,16547
moved,57229
footballers,35090
saved,74465
relegation,70983
started,79660
2003,2207
burden,17409
penalty,64254
imposed,43662
association,11668
faltering,33240
fired,34371
replaced,71311
kurt,48825
jara,46032
unpopular,87184
faithful,33174
defensive,26095
philosophy,64954
helm,40877
safe,73746
quit,69002
citing,20830
irreconcilable,45389
differences,27317
2005,2216
present,67234
michael,55451
henke,40958
served,75958
assistant,11648
successful,80962
hitzfeld,41660
initially,44433
suffered,81025
string,80513
reverses,71896
crashed,24128
table,82100
alumnus,9330
wolfgang,91156
wolf,91152
trainer,84974
role,72734
brought,16969
young,92203
home,41925
grown,39003
despite,26835
fans,33307
experts,32727
alike,8981
06,411
failure,33126
2nd,4037
stay,79856
07,449
sixth,77462
points,65982
2007,2229
announced,10043
norwegian,59909
kjetil,48126
belgian,14114
lierse,50742
sk,77489
head,40549
reins,70856
july,46800
bad,12771
results,71699
standings,79577
wins,90955
19,1987
games,36545
sacked,73679
milan,55675
february,33656
2008,2235
hired,41523
stefan,79923
kuntz,48803
leadership,49941
managed,53053
save,74464
promoted,67838
day,25653
celebrating,19365
game,36524
rivals,72426
bayern,13719
munich,57552
lasted,49550
dismissed,27839
2009,2241
poor,66289
half,39728
days,25667
defeat,26055
hansa,39995
rostock,72999
alois,9194
schwartz,74877
interim,44876
seventh,76058
eventually,32364
marco,53419
kurz,48837
newly,59009
promising,67827
straight,80342
previous,67381
hard,40072
fought,35405
fsv,35984
mainz,52821
05,365
drubbing,29073
borussia,16074
dortmund,28677
struggle,80577
ahead,8439
dropping,29055
weeks,90163
coalesce,21480
earned,29661
victories,88680
10,636
matches,53921
recording,70225
defeats,26058
draw,28920
2011,2264
12,977
18th,1985
reserve,71509
appearance,10450
amateurliga,9399
1957,2069
1968,2083
entitled,31324
1978,2099
qualified,68774
belong,14192
exception,32511
1982,2106
1992,2119
1994,2121
yo,92131
regionalliga,70712
2000,2187
2004,2211
belonged,14193
occasions,60639
1979,2100
1997,2126
competition,22309
round,73061
reaching,69842
twice,86044
drawn,28929
98,6795
recent,70064
width,90667
750,5944
wikitable,90744
sortable,78497
style,80679
text,83332
align,8974
center,19484
50,5086
40,4606
rank,69538
gd,36916
pts,68248
europa,32241
1989,2113
90,6636
34,4304
55,5254
37,4429
bgcolor,14645
gold,38075
winner,90944
91,6675
72,5839
45,4888
27,3534
2r,4046
1r,2173
1991,2118
92,6690
17,1704
58,5382
44,4838
qf,68688
93,6708
35,4343
3r,4597
1993,2120
94,6722
64,5584
36,4392
95,6737
41,4684
sf,76125
1995,2123
96,6757
97,6773
68,5676
39,4502
silver,77187
1999,2128
15,1407
14,1270
54,5227
59,5418
01,146
2001,2200
02,218
53,5200
56,5306
runner,73386
47,4964
71,5788
67,5652
51,5146
2014,2306
cite,20820
web,90068
url,87563
index,43955
php,65052
id,43037
archive,10799
september,75848
accessdate,7449
loss,51775
goal,37963
difference,27315
cwc,24983
el,30291
cl,20947
attended,11942
1st,2175
3rd,4598
quarterfinals,68830
semifinals,75710
col,21688
begin,14021
1950,2060
1952,2063
1949,2058
1956,2068
57,5342
1962,2077
1942,2049
international,44927
finals,34254
82,6260
quarter,68824
youth,92229
1984,2108
1983,2107
amateur,9396
1973,2094
iii,43257
end,30981
competitions,22311
unless,87115
shown,76823
250px,3364
plays,65725
fixtures,34550
adjacent,7842
street,80451
player,65694
prominence,67819
facility,33048
literally,51185
mount,57173
steep,79910
sandstone,74132
hill,41394
hosting,42258
preliminary,67136
underwent,86789
refurbishment,70588
tournament,84798
grandstands,38556
roof,72866
culture,24745
unreferenced,87233
section,75429
march,53398
feared,33611
away,12473
given,37704
rabid,69099
ferocity,33865
supporters,81363
located,51431
westside,90392
curve,24898
stands,79584
shaped,76309
semicircle,75702
famously,33280
match,53911
charged,19914
atmosphere,11873
score,74969
58th,5417
minute,55988
friendly,35829
ties,84006
tsv,85717
1860,1928
münchen,57940
bitter,15129
mannheim,53210
lesser,50419
local,51408
rivalries,72424
karlsruher,47257
squad,79273
2016,2324
weltfussball,90270
accessed,7450
fs,35965
nat,58290
ger,37282
pos,66595
gk,37717
marius,53546
müller,57939
footballer,35089
born,16047
tim,84077
patrick,63814
ziegler,92576
sascha,74333
fin,34235
mf,55386
alexander,8896
ring,72321
schulze,74861
pol,66006
marcus,53423
fw,36243
lukas,52062
cro,24359
antonio,10260
loan,51378
tsg,85682
hoffenheim,41775
ruben,73248
jenssen,46223
svk,81611
róbert,73558
sebastian,75352
jacob,45831
isl,45500
jón,46957
andré,9856
marcel,53389
gaus,36822
julian,46785
mateusz,53964
lux,52187
maurice,54090
deville,27033
daniel,25355
captain,18483
29,3693
aut,12171
stipe,80125
chris,20473
ser,75879
zlatan,92634
gha,37429
manfred,53129
osei,61773
markus,53604
karl,47246
38,4466
jean,46142
zimmer,92596
steven,80040
jan,45967
lucas,51980
christopher,20525
lask,49488
linz,51050
blank,15264
column,21974
transfers,85054
summer,81149
talent,82308
u23,86246
flagicon,34596
konrad,48401
ole,61037
sievers,77055
raphael,69574
schultz,74858
johannes,46481
reichert,70800
raimondo,69321
metzger,55353
fabian,32990
scheffer,74705
bernard,14439
irvin,45427
raúl,69789
parra,63506
hofmann,41779
dino,27480
bih,14847
kevin,47692
christian,20493
mario,53524
thorsten,83787
florian,34822
weber,90092
hammel,39837
yannick,91915
sports,79108
departments,26555
athletics,11834
sport,79087
basketball,13545
boxing,16276
handball,39881
hockey,41750
triathlon,85353
structure,80568
english,31131
homepage,41951
november,60038
baskets,13549
seniors,75768
male,52939
female,33781
senior,75766
fourth,35439
exists,32647
prominent,67820
athletes,11829
medal,54599
ist,45599
1964,2079
olympics,61120
emil,30736
schulz,74860
bronze,16932
reiner,70842
gies,37519
career,18589
heavyweight,40685
champion,19768
wheelchair,90472
rolling,72755
turned,85906
separate,75825
federal,33670
www2,91620
drs,29071
ligen,50800
bl1,15169
rankings,69546
outsourcing,62088
independent,43942
sponsor,79061
suspended,81515
annual,10056
meeting,54746
december,25875
official,60837
resultsfromfootball,71704
statistics,79801
u17,86239
southwest,78643
teamlist,82770
authority,12213
defaultsort,26054
establishments,31976
cologne,21869
image_size,43423
billy,14916
goats,37986
age,8285
chrtitle,20565
werner,90319
spinner,78972
peter,64712
9th,6860
_redborder,6933
ff0000,33965
000080,17
koeln,48309
merger,55098
kölner,48924
spvgg,79250
highest,41314
goat,37984
refers,70510
mascot,53796
veteran,88564
donated,28539
circus,20783
entrepreneur,31356
carnival,18700
joke,46520
viii,88800
locally,51425
ambiguity,9431
abbreviation,7137
characteristic,19890
language,49340
dialect,27174
spoken,79046
pronounced,67866
ef,30104
fix,34542
october,60715
contrast,23224
pronunciation,67873
syllable,81822
emphasized,30808
like,50843
tennis,83093
gymnastics,39451
500,5087
members,54913
lc,49849
largest,49440
express,32798
767,6018
sind,77291
mitglieder,56203
boom,15960
der,26656
hat,40329
nun,60264
auch,12016
den,26448
hsv,42453
trans,85012
overtook,62260
publisher,68306
predecessor,67038
bc,13779
men,54955
unhappy,86918
far,33327
interested,44855
competitive,22312
westdeutsche,90345
best,14523
mönchengladbach,57932
100px,665
sportverein,79150
hertha,41144
westdeutscher,90346
1928,2029
turn,85901
stage,79471
premier,67145
1933,2037
divisional,28184
faltered,33239
aachen,7056
occupied,60657
luxembourg,52189
struggled,80578
vfl,88588
1943,2050
combined,22023
wartime,89791
promptly,67849
sg,76155
close,21301
race,69111
did,27266
region,70655
expand,32665
tough,84774
vfb,88587
stuttgart,80674
appeared,10452
way,89958
nürnberg,60432
resulting,71696
favourites,33531
trophy,85543
visited,89025
dundee,29296
scotland,74999
leg,50118
continuing,23187
selected,75619
continued,23185
ways,89969
inaugural,43775
65,5606
met,55215
england,31121
liverpool,51261
draws,28930
stalemate,79518
kicks,47841
shootout,76706
means,54549
deciding,25899
tie,83985
coin,21667
toss,84720
ironically,45370
need,58668
stuck,80606
vertically,88521
field,34081
brazilian,16522
signed,77098
record,70193
fee,33696
deutsche,26973
dm,28247
news,59021
beim,14068
samba,74013
kicker,47836
icon,43016
published,68305
domestically,28485
1967,2082
1970s,2090
70,5732
1970,2088
1971,2091
achieved,7574
77,6025
beating,13875
bsc,17106
legs,50202
enjoyed,31171
retaining,71740
makes,52875
double,28711
1980,2102
1986,2110
aggregate,8319
real,69889
madrid,52580
finishes,34317
glorious,37882
thirty,83733
period,64482
21st,3034
ups,87468
downs,28798
mixed,56241
holds,41836
dubious,29171
distinction,28024
worst,91403
drought,29060
wait,89513
1034,706
excruciating,32560
minutes,55993
thomas,83747
net,58854
fussballdaten,36216
das,25485
tor,84618
terms,83205
1990s,2117
moving,57249
returned,71828
little,51220
optimism,61414
return,71827
picked,65150
magazine,52617
likely,50847
prediction,67062
true,85607
conceding,22490
scorer,74980
podolski,65939
transferred,85052
